slug,url
3yqh,"https://livetv.biz.id/play1.php?watch=Baltimore vs Milwaukee"
06fz,"https://livetv.biz.id/play1.php?watch=NY Mets vs Philadelphia"
y4bu,"https://livetv.biz.id/play1.php?watch=Tampa Bay vs Boston"
r21f,"https://livetv.biz.id/play1.php?watch=Cleveland vs Oakland"
4tyl,"https://livetv.biz.id/play1.php?watch=Pittsburgh vs Kansas City"
2hf5,"https://livetv.biz.id/play1.php?watch=Cincinnati vs Chi Cubs"
y5js,"https://livetv.biz.id/play1.php?watch=Texas vs Toronto"
y6kc,"https://livetv.biz.id/play1.php?watch=Houston vs Atlanta"
0t9r,"https://livetv.biz.id/play1.php?watch=Chi White Sox vs Detroit"
5jjx,"https://livetv.biz.id/play1.php?watch=Saint-Louis vs Washington"
xbyj,"https://livetv.biz.id/play1.php?watch=Arizona vs NY Yankees"
iy9v,"https://livetv.biz.id/play1.php?watch=Colorado vs Seattle"
qmua,"https://livetv.biz.id/play1.php?watch=San Diego vs Miami"
x7nf,"https://livetv.biz.id/play1.php?watch=LA Dodgers vs San Francisco"
qyci,"https://livetv.biz.id/play1.php?watch=LA Angels vs Minnesota"
vs13,"https://livetv.biz.id/play1.php?watch=KT Wiz vs Doosan Bears"
s3n5,"https://livetv.biz.id/play1.php?watch=LG Twins vs Hanwa Eagles"
3y0a,"https://livetv.biz.id/play1.php?watch=Lotte Giants vs Samsung Lions"
opwp,"https://livetv.biz.id/play1.php?watch=NC Dinos vs Kia Tigers"
zlmz,"https://livetv.biz.id/play1.php?watch=SSG Landers vs Kiwoom Heroes"
o11o,"https://livetv.biz.id/play1.php?watch=Regensburg vs Bonn"
0ers,"https://livetv.biz.id/play1.php?watch=European U-18 Championship vs"
yilf,"https://livetv.biz.id/play1.php?watch=Russian Championship vs"
y5k6,"https://livetv.biz.id/play1.php?watch=Strasbourg vs Oradea"
65d4,"https://livetv.biz.id/play1.php?watch=Strasbourg vs Oradea"
0coo,"https://livetv.biz.id/play1.php?watch=Panathinaikos vs Honved"
w9jn,"https://livetv.biz.id/play1.php?watch=Spandau 04 vs Strasbourg"
q9kc,"https://livetv.biz.id/play1.php?watch=Oradea vs Novi Beograd"
jt43,"https://livetv.biz.id/play1.php?watch=Honved vs Jadran Split"
tcd8,"https://livetv.biz.id/play1.php?watch=Budvanska Rivijera vs Brescia"
