1,"Williamson vs Pine Forest",Football,"Alabama",9/10/2026,7:00pm,"The Williamson varsity football team has an away non-conference game @  Pine Forest (Pensacola, FL) on Thursday, September 10 @ 7p.","/inter-state/football/game/pine-forest-pensacola-fl-vs-williamson-mobile-al/9-10-2026/?c=b48ca10a-920f-4d26-896f-6434b1a3086b","https://www.maxpreps.com/inter-state/football/game/pine-forest-pensacola-fl-vs-williamson-mobile-al/9-10-2026/?c=b48ca10a-920f-4d26-896f-6434b1a3086b","/football/al/126f?9/10/2026","Lions","Eagles","https://www.maxpreps.com/al/pine-forest-pensacola-fl/football/","https://www.maxpreps.com/al/williamson-mobile-al/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F3%2F5%2F5%2F355baefa-ed80-4252-8fd0-e4d9f4383788.gif%3Fversion%3D638253706200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Ff%2F6%2F4%2Ff64eb451-c381-42d0-afd0-7e4a0143f336.gif%3Fversion%3D636391719600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
47,"Duluth vs Lanier Sugar Hill",Boys Softball,"Georgia",9/28/2026,TBD,"The Lanier Sugar Hill varsity softball team has a game @ Duluth (Georgia).","/ga/softball/game/duluth-vs-lanier-sugar-hill/9-28-2026/?c=e095d59e-b6fd-4f16-be70-b442a51ae6bc","https://www.maxpreps.com/ga/softball/game/duluth-vs-lanier-sugar-hill/9-28-2026/?c=e095d59e-b6fd-4f16-be70-b442a51ae6bc","/softball/ga/a79?9/28/2026","Duluth","Hill","https://www.maxpreps.com/ga/duluth/boys-softball/","https://www.maxpreps.com/ga/lanier-sugar-hill/boys-softball/","",""
48,"Lakeside Atlanta vs Midtown Atlanta",Boys Softball,"Georgia",9/28/2026,TBD,"The Midtown Atlanta varsity softball team has a game @ Lakeside Atlanta (Georgia).","/ga/softball/game/lakeside-atlanta-vs-midtown-atlanta/9-28-2026/?c=36f7fa8c-fa39-4f8a-b3e2-b9f3577bad3a","https://www.maxpreps.com/ga/softball/game/lakeside-atlanta-vs-midtown-atlanta/9-28-2026/?c=36f7fa8c-fa39-4f8a-b3e2-b9f3577bad3a","/softball/ga/dab?9/28/2026","Atlanta","Atlanta","https://www.maxpreps.com/ga/lakeside-atlanta/boys-softball/","https://www.maxpreps.com/ga/midtown-atlanta/boys-softball/","",""
49,"Gordon Lee Chickamauga vs Northwest Whitfield Tunnel Hill",Boys Softball,"Georgia",9/28/2026,TBD,"The Northwest Whitfield Tunnel Hill varsity softball team has a game @ Gordon Lee Chickamauga (Georgia).","/ga/softball/game/gordon-lee-chickamauga-vs-northwest-whitfield-tunnel-hill/9-28-2026/?c=202c48ab-2406-4994-9565-5ba49e67dc2b","https://www.maxpreps.com/ga/softball/game/gordon-lee-chickamauga-vs-northwest-whitfield-tunnel-hill/9-28-2026/?c=202c48ab-2406-4994-9565-5ba49e67dc2b","/softball/ga/163e?9/28/2026","Chickamauga","Hill","https://www.maxpreps.com/ga/gordon-lee-chickamauga/boys-softball/","https://www.maxpreps.com/ga/northwest-whitfield-tunnel-hill/boys-softball/","",""
50,"Seminole County Donalsonville vs Worth County Sylvester",Boys Softball,"Georgia",9/28/2026,TBD,"The Worth County Sylvester varsity softball team has a game @ Seminole County Donalsonville (Georgia).","/ga/softball/game/seminole-county-donalsonville-vs-worth-county-sylvester/9-28-2026/?c=34e64617-691f-4522-bb32-eba481657e58","https://www.maxpreps.com/ga/softball/game/seminole-county-donalsonville-vs-worth-county-sylvester/9-28-2026/?c=34e64617-691f-4522-bb32-eba481657e58","/softball/ga/1636?9/28/2026","Donalsonville","Sylvester","https://www.maxpreps.com/ga/seminole-county-donalsonville/boys-softball/","https://www.maxpreps.com/ga/worth-county-sylvester/boys-softball/","",""
51,"Lafayette vs Ridgeland Rossville",Boys Softball,"Georgia",9/28/2026,TBD,"The Ridgeland Rossville varsity softball team has a game @ Lafayette (Georgia).","/ga/softball/game/lafayette-vs-ridgeland-rossville/9-28-2026/?c=0f1e3984-f50b-4b6c-9abb-256d07e77ddd","https://www.maxpreps.com/ga/softball/game/lafayette-vs-ridgeland-rossville/9-28-2026/?c=0f1e3984-f50b-4b6c-9abb-256d07e77ddd","/softball/ga/cbc?9/28/2026","Lafayette","Rossville","https://www.maxpreps.com/ga/lafayette/boys-softball/","https://www.maxpreps.com/ga/ridgeland-rossville/boys-softball/","",""
52,"Echols County Statenville vs Valwood Valdosta",Boys Softball,"Georgia",9/28/2026,TBD,"The Valwood Valdosta varsity softball team has a game @ Echols County Statenville (Georgia).","/ga/softball/game/echols-county-statenville-vs-valwood-valdosta/9-28-2026/?c=ee0e9287-bcbc-4a56-96de-e0619bec8e2b","https://www.maxpreps.com/ga/softball/game/echols-county-statenville-vs-valwood-valdosta/9-28-2026/?c=ee0e9287-bcbc-4a56-96de-e0619bec8e2b","/softball/ga/11ef?9/28/2026","Statenville","Valdosta","https://www.maxpreps.com/ga/echols-county-statenville/boys-softball/","https://www.maxpreps.com/ga/valwood-valdosta/boys-softball/","",""
53,"Kennesaw Mountain vs Sprayberry Marietta",Boys Softball,"Georgia",9/28/2026,TBD,"The Sprayberry Marietta varsity softball team has a game @ Kennesaw Mountain (Georgia).","/ga/softball/game/kennesaw-mountain-vs-sprayberry-marietta/9-28-2026/?c=ce2277bd-9bff-4c2f-8e1c-90c088304692","https://www.maxpreps.com/ga/softball/game/kennesaw-mountain-vs-sprayberry-marietta/9-28-2026/?c=ce2277bd-9bff-4c2f-8e1c-90c088304692","/softball/ga/100e?9/28/2026","Mountain","Marietta","https://www.maxpreps.com/ga/kennesaw-mountain/boys-softball/","https://www.maxpreps.com/ga/sprayberry-marietta/boys-softball/","",""
54,"Mount Vernon Atlanta vs Whitefield Academy Mableton",Boys Softball,"Georgia",9/28/2026,TBD,"The Whitefield Academy Mableton varsity softball team has a game @ Mount Vernon Atlanta (Georgia).","/ga/softball/game/mount-vernon-atlanta-vs-whitefield-academy-mableton/9-28-2026/?c=7f7c6fbe-696c-4b21-977f-9e07f53e6a1e","https://www.maxpreps.com/ga/softball/game/mount-vernon-atlanta-vs-whitefield-academy-mableton/9-28-2026/?c=7f7c6fbe-696c-4b21-977f-9e07f53e6a1e","/softball/ga/13f2?9/28/2026","Atlanta","Mableton","https://www.maxpreps.com/ga/mount-vernon-atlanta/boys-softball/","https://www.maxpreps.com/ga/whitefield-academy-mableton/boys-softball/","",""
55,"Mcintosh County Academy Darien vs Wheeler County Alamo",Boys Softball,"Georgia",9/28/2026,TBD,"The Wheeler County Alamo varsity softball team has a game @ Mcintosh County Academy Darien (Georgia).","/ga/softball/game/mcintosh-county-academy-darien-vs-wheeler-county-alamo/9-28-2026/?c=35fd7a35-2107-4653-9cf0-3aafd16d8c93","https://www.maxpreps.com/ga/softball/game/mcintosh-county-academy-darien-vs-wheeler-county-alamo/9-28-2026/?c=35fd7a35-2107-4653-9cf0-3aafd16d8c93","/softball/ga/150a?9/28/2026","Darien","Alamo","https://www.maxpreps.com/ga/mcintosh-county-academy-darien/boys-softball/","https://www.maxpreps.com/ga/wheeler-county-alamo/boys-softball/","",""
56,"Hampton vs Landmark Christian Fairburn",Boys Softball,"Georgia",9/28/2026,TBD,"The Landmark Christian Fairburn varsity softball team has a game @ Hampton (Georgia).","/ga/softball/game/hampton-vs-landmark-christian-fairburn/9-28-2026/?c=bb6ac695-1fd1-4b15-b271-aa0705d3c3dc","https://www.maxpreps.com/ga/softball/game/hampton-vs-landmark-christian-fairburn/9-28-2026/?c=bb6ac695-1fd1-4b15-b271-aa0705d3c3dc","/softball/ga/efc?9/28/2026","Hampton","Fairburn","https://www.maxpreps.com/ga/hampton/boys-softball/","https://www.maxpreps.com/ga/landmark-christian-fairburn/boys-softball/","",""
