slug,url
7byt,"https://livetv.biz.id/play1.php?watch=Slovakia vs Greece"
e4mi,"https://livetv.biz.id/play1.php?watch=Menelaos Efstathiou vs Oleksii Krutykh"
gxag,"https://livetv.biz.id/play1.php?watch=Holmgren / Overbeck vs Donski / Nesterov"
fv9k,"https://livetv.biz.id/play1.php?watch=Liang En-shuo (W) vs  Sara Saito (W)"
on8j,"https://livetv.biz.id/play1.php?watch=Mia Pohankova (W) vs  Gabriela Andrea Knutson (W)"
htsc,"https://livetv.biz.id/play1.php?watch=Samira De Stefano (W) vs  Laura Samson (W)"
5zg1,"https://livetv.biz.id/play1.php?watch=Alex Molcan vs Stefanos Sakellaridis"
gk5q,"https://livetv.biz.id/play1.php?watch=Holmgren / Ingildsen vs Donski / Nesterov"
rak4,"https://livetv.biz.id/play1.php?watch=Austria vs Belgium"
blci,"https://livetv.biz.id/play1.php?watch=Niklas-Salminen / Heliovaara vs Nys / Arneodo"
ozv4,"https://livetv.biz.id/play1.php?watch=Yassine Dlimi vs Daniel Adeleye"
21ib,"https://livetv.biz.id/play1.php?watch=Norbert Gombos vs Stefanos Tsitsipas"
0dag,"https://livetv.biz.id/play1.php?watch=Holger Rune vs Grigor Dimitrov"
6tm0,"https://livetv.biz.id/play1.php?watch=Jurij Rodionov vs Zizou Bergs"
24pp,"https://livetv.biz.id/play1.php?watch=Filip Jeff Planinsek vs Amit Vales"
4q4v,"https://livetv.biz.id/play1.php?watch=Toby Samuel vs Andres Andrade"
8rr0,"https://livetv.biz.id/play1.php?watch=Serbia vs Lithuania"
2jz4,"https://livetv.biz.id/play1.php?watch=Netherlands vs Colombia"
a6w3,"https://livetv.biz.id/play1.php?watch=Germany vs Croatia"
9o12,"https://livetv.biz.id/play1.php?watch=United Kingdom vs Ecuador"
ena3,"https://livetv.biz.id/play1.php?watch=Miomir Kecmanovic vs Edas Butvilas"
nww2,"https://livetv.biz.id/play1.php?watch=De Jong / Pel vs Barrientos / Tobon"
lcz4,"https://livetv.biz.id/play1.php?watch=Knaff / Rodesch vs Piros / Fuele"
0ab9,"https://livetv.biz.id/play1.php?watch=Alexander Zverev vs Matej Dodig"
56th,"https://livetv.biz.id/play1.php?watch=Pavlasek / Rikl vs Harrison / Krajicek"
cabh,"https://livetv.biz.id/play1.php?watch=Jakupovic (W) /  Karamoko (W) vs  Selekhmeteva (W) /  Romero Gormaz (W)"
s37j,"https://livetv.biz.id/play1.php?watch=Mona Barthel (W) vs  Noemi Basiletti (W)"
gfdw,"https://livetv.biz.id/play1.php?watch=Lisa Pigato (W) vs  Jeline Vandromme (W)"
ids7,"https://livetv.biz.id/play1.php?watch=Timofey Skatov vs Maximus Jones"
ib0p,"https://livetv.biz.id/play1.php?watch=Otto Virtanen vs Valentin Vacherot"
vonx,"https://livetv.biz.id/play1.php?watch=Lukas Neumayer vs Gauthier Onclin"
8xn6,"https://livetv.biz.id/play1.php?watch=Moez Echargui vs Muhammad Shoaib"
mb28,"https://livetv.biz.id/play1.php?watch=Bor Artnak vs Orel Kimhi"
1bx8,"https://livetv.biz.id/play1.php?watch=Philip Henning vs Andrej Nedic"
su6o,"https://livetv.biz.id/play1.php?watch=Czech Republic vs USA"
tx82,"https://livetv.biz.id/play1.php?watch=Elmer Moller vs Iliyan Radulov"
c2x6,"https://livetv.biz.id/play1.php?watch=Arthur Fery vs Alvaro-Guillen Meza"
a2lc,"https://livetv.biz.id/play1.php?watch=Alex Knaff vs Fabian Marozsan"
zg87,"https://livetv.biz.id/play1.php?watch=Hamad Medjedovic vs Vilius Gaubas"
u9cs,"https://livetv.biz.id/play1.php?watch=Botic Van de Zandschulp vs Nicolas Mejia"
7a4d,"https://livetv.biz.id/play1.php?watch=Jakub Mensik vs Ben Shelton"
x4fb,"https://livetv.biz.id/play1.php?watch=Ruud / Durasovic vs Zhang / Nidunjianzan"
x3pi,"https://livetv.biz.id/play1.php?watch=Daniel Altmaier vs Dino Prizmic"
hfan,"https://livetv.biz.id/play1.php?watch=Denmark vs Bulgaria"
p8sd,"https://livetv.biz.id/play1.php?watch=Daniel Phillips vs Alan Magadan"
8vzc,"https://livetv.biz.id/play1.php?watch=Eero Vasa vs Lucas Catarina"
y3ax,"https://livetv.biz.id/play1.php?watch=Aziz Dougaz vs Muzammil Murtaza"
8oae,"https://livetv.biz.id/play1.php?watch=Khololwam Montsi vs Damir Dzumhur"
vrla,"https://livetv.biz.id/play1.php?watch=Argentina vs Turkey"
p9cb,"https://livetv.biz.id/play1.php?watch=Finland vs Monaco"
t0l2,"https://livetv.biz.id/play1.php?watch=Francisco Cerundolo vs Yanki Erel"
6cr4,"https://livetv.biz.id/play1.php?watch=Casper Ruud vs Jie Cui"
8krd,"https://livetv.biz.id/play1.php?watch=Tallon Griekspoor vs Johan Alexander Rodriguez Rodriguez"
i1a4,"https://livetv.biz.id/play1.php?watch=Jiri Lehecka vs Learner Tien"
vssg,"https://livetv.biz.id/play1.php?watch=Richard Mallory vs Alejandro Hernandez"
q8tr,"https://livetv.biz.id/play1.php?watch=Luxembourg vs Hungary"
bgh6,"https://livetv.biz.id/play1.php?watch=Norway vs China"
g9wr,"https://livetv.biz.id/play1.php?watch=Chile vs Spain"
egj1,"https://livetv.biz.id/play1.php?watch=Alejandro Tabilo vs Daniel Merida Aguilar"
8xd3,"https://livetv.biz.id/play1.php?watch=Kaitlin Quevedo (W) vs  Anna Blinkova (W)"
rdtn,"https://livetv.biz.id/play1.php?watch=Thiago Tirante vs Mert Alkaya"
zbvb,"https://livetv.biz.id/play1.php?watch=Nicolai Budkov Kjaer vs Rigele Te"
sx8h,"https://livetv.biz.id/play1.php?watch=Nick Hardt vs Amr Elsayed"
qf81,"https://livetv.biz.id/play1.php?watch=Fujian vs Sichuan"
ey6n,"https://livetv.biz.id/play1.php?watch=Shanghai vs Tianjin"
cnvc,"https://livetv.biz.id/play1.php?watch=Rwanda vs Gambia"
qoe5,"https://livetv.biz.id/play1.php?watch=Tianjin (W) vs  Sichuan (W)"
r85f,"https://livetv.biz.id/play1.php?watch=Poland vs Latvia"
ubmy,"https://livetv.biz.id/play1.php?watch=Ghana vs Chad"
98l8,"https://livetv.biz.id/play1.php?watch=Braga (W) vs CAV Esquimo (W)"
mpby,"https://livetv.biz.id/play1.php?watch=Brazil vs Venezuela"
xfeg,"https://livetv.biz.id/play1.php?watch=Altdorf (W) vs Rote Raben Vilsbiburg II (W)"
3gtz,"https://livetv.biz.id/play1.php?watch=Wiesbaden II (W) vs Dingolfing (W)"
4sm3,"https://livetv.biz.id/play1.php?watch=Berlin (W) vs Sorpesee (W)"
bkm1,"https://livetv.biz.id/play1.php?watch=Volleys Koln vs Braunschweig"
2onu,"https://livetv.biz.id/play1.php?watch=Lindow/Gransee vs Bocholter VV"
zasb,"https://livetv.biz.id/play1.php?watch=Germany vs Bulgaria"
sefd,"https://livetv.biz.id/play1.php?watch=Austrian Grand Prix vs"
y3ys,"https://livetv.biz.id/play1.php?watch=Barcelona 24 Hours vs"
l788,"https://livetv.biz.id/play1.php?watch=GT World Challenge Australia vs"
1b99,"https://livetv.biz.id/play1.php?watch=BRSCC vs"
fw0s,"https://livetv.biz.id/play1.php?watch=GT2 European Series  Zandvoort vs"
i168,"https://livetv.biz.id/play1.php?watch=GT World Challenge  Zandvoort vs"
4tj0,"https://livetv.biz.id/play1.php?watch=FIM EWC. Bol d&#039;Or vs"
ph9d,"https://livetv.biz.id/play1.php?watch=Clio Cup Series vs"
wxal,"https://livetv.biz.id/play1.php?watch=BSB  Assen vs"
atxv,"https://livetv.biz.id/play1.php?watch=Italian F4 Championship (Misano) vs"
bbd6,"https://livetv.biz.id/play1.php?watch=Rookies Cup  Spielberg vs"
1xho,"https://livetv.biz.id/play1.php?watch=GT4 European Series  Zandvoort vs"
ymbi,"https://livetv.biz.id/play1.php?watch=Porsche Carrera Cup vs"
6est,"https://livetv.biz.id/play1.php?watch=AMA Supercross vs"
z5dj,"https://livetv.biz.id/play1.php?watch=Zalgiris K vs Mazeikiai"
1qkf,"https://livetv.biz.id/play1.php?watch=Skype-2 vs Warta Poznan"
7ul7,"https://livetv.biz.id/play1.php?watch=Lazio (W) vs Molfetta (W)"
mr0u,"https://livetv.biz.id/play1.php?watch=Phantom-2 vs Sarmaty"
nsh8,"https://livetv.biz.id/play1.php?watch=Akmenes krastas vs Bruklinas"
n9wo,"https://livetv.biz.id/play1.php?watch=Hungary vs Uzbekistan"
m0w4,"https://livetv.biz.id/play1.php?watch=Audace Verona (W) vs Cagliari (W)"
5tdj,"https://livetv.biz.id/play1.php?watch=Weilimdorf vs Mulheim"
o4mz,"https://livetv.biz.id/play1.php?watch=Bielsko Biala vs Bochnia"
o2gl,"https://livetv.biz.id/play1.php?watch=Katowice vs Basket Torun"
qjfz,"https://livetv.biz.id/play1.php?watch=Toulon vs Nantes"
rkxc,"https://livetv.biz.id/play1.php?watch=Women. IHF Trophy Africa vs"
8839,"https://livetv.biz.id/play1.php?watch=Donbas Mariupol vs Spartak Kiev"
pesp,"https://livetv.biz.id/play1.php?watch=Gjorche Petrov (W) vs Pelister (W)"
rajf,"https://livetv.biz.id/play1.php?watch=Real Mykolaiv (W) vs Galichanka (W)"
oybl,"https://livetv.biz.id/play1.php?watch=Sviesa vs Istanbul Genclik"
vkfa,"https://livetv.biz.id/play1.php?watch=Rostov-Don (W) vs  University (W)"
qpg3,"https://livetv.biz.id/play1.php?watch=Women. IHF Trophy Africa vs"
ctyu,"https://livetv.biz.id/play1.php?watch=Motor Zaporozhye vs Avia Grade Constanta"
dweu,"https://livetv.biz.id/play1.php?watch=Bursa (W) vs Trabzon Ortahisar (W)"
lbjc,"https://livetv.biz.id/play1.php?watch=Odunpazari (Ж) vs Manisa (W)"
f1hc,"https://livetv.biz.id/play1.php?watch=Sokol Pisek (W) vs  Banik Most (W)"
2sk3,"https://livetv.biz.id/play1.php?watch=Iuventa Michalovce (W) vs  Tatran Stupava (W)"
yij3,"https://livetv.biz.id/play1.php?watch=TMS Ringsted vs Mors-Thy"
ihse,"https://livetv.biz.id/play1.php?watch=Goztepe (W) vs Uskudar (W)"
ew3d,"https://livetv.biz.id/play1.php?watch=Ionikos Nea Filadelfia vs BESA Famgas"
lmjl,"https://livetv.biz.id/play1.php?watch=Rivne-OSHVSM (W) vs Proskuriv (W)"
zd4k,"https://livetv.biz.id/play1.php?watch=Chrobry Glogow vs Piotrkow Trybunalski"
bbht,"https://livetv.biz.id/play1.php?watch=Athletic (W) vs Despina (W)"
em67,"https://livetv.biz.id/play1.php?watch=Women. IHF Trophy Africa vs"
g54o,"https://livetv.biz.id/play1.php?watch=GOG vs Fredericia"
